comps,reqs_per_comp,comps_per_req,overlap,time,num_workflows
5,1,1,0,0.92,5
5,1,2,0,0.32,5
5,1,3,0,0.34,5
5,1,4,0,0.36,5
5,1,5,0,0.38,5
5,2,1,0,0.48,5
5,2,2,0,0.51,5
5,2,3,0,0.56,5
5,2,4,0,0.58,5
5,2,5,0,0.62,5
5,3,1,0,0.64,5
5,3,2,0,0.68,5
5,3,3,0,0.75,5
5,3,4,0,0.78,5
5,3,5,0,0.83,5
5,4,1,0,0.79,5
5,4,2,0,0.86,5
5,4,3,0,0.93,5
5,4,4,0,0.99,5
5,4,5,0,1.06,5
5,5,1,0,0.94,5
5,5,2,0,1.02,5
5,5,3,0,1.11,5
5,5,4,0,1.19,5
5,5,5,0,1.26,5
10,1,1,0,0.59,10
10,1,2,0,0.63,10
10,1,3,0,0.67,10
10,1,4,0,0.73,10
10,1,5,0,0.76,10
10,2,1,0,0.94,10
10,2,2,0,1.02,10
10,2,3,0,1.08,10
10,2,4,0,1.18,10
10,2,5,0,1.23,10
10,3,1,0,1.25,10
10,3,2,0,1.38,10
10,3,3,0,1.46,10
10,3,4,0,1.57,10
10,3,5,0,1.68,10
10,4,1,0,1.58,10
10,4,2,0,1.73,10
10,4,3,0,1.85,10
10,4,4,0,1.97,10
10,4,5,0,2.11,10
10,5,1,0,1.89,10
10,5,2,0,2.07,10
10,5,3,0,2.21,10
10,5,4,0,2.40,10
10,5,5,0,2.56,10
100,1,1,0,6.22,100
100,1,2,0,6.63,100
100,1,3,0,6.99,100
100,1,4,0,7.35,100
100,1,5,0,7.68,100
100,2,1,0,10.86,100
100,2,2,0,11.71,100
100,2,3,0,12.44,100
100,2,4,0,13.11,100
100,2,5,0,13.85,100
100,3,1,0,14.99,100
100,3,2,0,15.94,100
100,3,3,0,17.00,100
100,3,4,0,17.82,100
100,3,5,0,18.89,100
100,4,1,0,18.80,100
100,4,2,0,20.28,100
100,4,3,0,21.46,100
100,4,4,0,22.76,100
100,4,5,0,24.10,100
100,5,1,0,22.94,100
100,5,2,0,24.49,100
100,5,3,0,26.15,100
100,5,4,0,27.86,100
100,5,5,0,29.50,100
