comps,reqs_per_comp,comps_per_req,overlap,time,num_workflows
5,1,1,0,1.00,5
5,1,2,0,0.33,5
5,1,3,0,0.58,10
5,1,4,0,0.60,10
5,1,5,0,0.83,15
5,2,1,0,0.49,5
5,2,2,0,0.52,5
5,2,3,0,1.61,20
5,2,4,0,1.66,20
5,2,5,0,3.53,45
5,3,1,0,0.64,5
5,3,2,0,0.69,5
5,3,3,0,4.03,40
5,3,4,0,4.14,40
5,3,5,0,13.31,135
5,4,1,0,0.79,5
5,4,2,0,0.85,5
5,4,3,0,9.72,80
5,4,4,0,9.91,80
5,4,5,0,49.02,405
5,5,1,0,0.95,5
5,5,2,0,1.03,5
5,5,3,0,22.90,160
5,5,4,0,23.21,160
5,5,5,0,174.91,1215
10,1,1,0,0.60,10
10,1,2,0,0.67,10
10,1,3,0,1.13,20
10,1,4,0,1.20,20
10,1,5,0,1.68,30
10,2,1,0,0.97,10
10,2,2,0,1.03,10
10,2,3,0,3.22,40
10,2,4,0,3.29,40
10,2,5,0,7.03,90
10,3,1,0,1.26,10
10,3,2,0,1.38,10
10,3,3,0,8.05,80
10,3,4,0,8.24,80
10,3,5,0,26.54,270
10,4,1,0,1.58,10
10,4,2,0,1.72,10
10,4,3,0,19.52,160
10,4,4,0,19.74,160
10,4,5,0,98.26,810
10,5,1,0,1.89,10
10,5,2,0,2.07,10
10,5,3,0,45.88,320
10,5,4,0,46.40,320
10,5,5,0,349.26,2430
100,1,1,0,6.25,100
100,1,2,0,6.64,100
100,1,3,0,11.69,200
100,1,4,0,12.09,200
100,1,5,0,17.29,300
100,2,1,0,10.87,100
100,2,2,0,11.71,100
100,2,3,0,35.05,400
100,2,4,0,35.88,400
100,2,5,0,76.00,900
100,3,1,0,14.63,100
100,3,2,0,15.72,100
100,3,3,0,87.52,800
100,3,4,0,89.49,800
100,3,5,0,288.29,2700
100,4,1,0,18.68,100
100,4,2,0,20.07,100
100,4,3,0,212.10,1600
100,4,4,0,214.91,1600
100,4,5,0,1053.84,8100
100,5,1,0,22.76,100
100,5,2,0,24.32,100
100,5,3,0,496.16,3200
100,5,4,0,509.60,3200
100,5,5,0,3795.38,24300
