comps,reqs_per_comp,comps_per_req,overlap,time,num_workflows
5,1,1,0,0.94,5
5,1,2,0,0.53,10
5,1,3,0,0.77,15
5,1,4,0,1.01,20
5,1,5,0,1.27,25
5,2,1,0,0.48,5
5,2,2,0,1.54,20
5,2,3,0,3.36,45
5,2,4,0,5.97,80
5,2,5,0,9.33,125
5,3,1,0,0.63,5
5,3,2,0,3.88,40
5,3,3,0,13.31,135
5,3,4,0,30.26,320
5,3,5,0,59.49,625
5,4,1,0,0.77,5
5,4,2,0,9.45,80
5,4,3,0,47.44,405
5,4,4,0,151.93,1280
5,4,5,0,371.73,3125
5,5,1,0,0.92,5
5,5,2,0,22.48,160
5,5,3,0,169.36,1215
5,5,4,0,723.92,5120
5,5,5,0,2217.00,15625
10,1,1,0,0.58,10
10,1,2,0,1.04,20
10,1,3,0,1.50,30
10,1,4,0,2.03,40
10,1,5,0,2.50,50
10,2,1,0,0.92,10
10,2,2,0,3.03,40
10,2,3,0,6.58,90
10,2,4,0,11.57,160
10,2,5,0,18.24,250
10,3,1,0,1.23,10
10,3,2,0,7.68,80
10,3,3,0,25.40,270
10,3,4,0,60.36,640
10,3,5,0,118.34,1250
10,4,1,0,1.52,10
10,4,2,0,18.78,160
10,4,3,0,94.36,810
10,4,4,0,299.86,2560
10,4,5,0,739.87,6250
10,5,1,0,1.82,10
10,5,2,0,44.31,320
10,5,3,0,337.74,2430
10,5,4,0,1450.52,10240
10,5,5,0,4483.53,31250
100,1,1,0,6.02,100
100,1,2,0,10.84,200
100,1,3,0,15.93,300
100,1,4,0,21.20,400
100,1,5,0,26.43,500
100,2,1,0,10.66,100
100,2,2,0,34.14,400
100,2,3,0,74.25,900
100,2,4,0,128.81,1600
100,2,5,0,200.91,2500
100,3,1,0,14.58,100
100,3,2,0,86.89,800
100,3,3,0,282.60,2700
100,3,4,0,676.24,6400
100,3,5,0,1326.81,12500
100,4,1,0,18.53,100
100,4,2,0,210.00,1600
100,4,3,0,1040.95,8100
100,4,4,0,3301.70,25600
100,4,5,0,8209.34,62500
100,5,1,0,22.53,100
100,5,2,0,497.66,3200
100,5,3,0,3774.70,24300
100,5,4,0,15719.80,102400
100,5,5,0,48066.98,312500
